"variable","relative_importance","scaled_importance","percentage"
"OTU97_g__Gloeomargarita",0.863925874233246,0.863925874233246,0.00626046424494809
"OTU1672_g__Microlunatus",0.863177478313446,0.863177478313446,0.00625504097191425
"OTU1663_g__Amycolatopsis",0.862354159355164,0.862354159355164,0.00624907476687948
"OTU610_g__Kingella",0.862323999404907,0.862323999404907,0.00624885621191332
"OTU212_g__Neochlamydia",0.861209094524384,0.861209094524384,0.00624077702092111
"OTU1744_g__Corynebacterium",0.860638082027435,0.860638082027435,0.0062366391620756
"OTU1310_g__Histophilus",0.86060756444931,0.86060756444931,0.00623641801554858
"OTU810_g__Dichelobacter",0.857052385807037,0.857052385807037,0.00621065530900375
"OTU1312_g__Pasteurella",0.856561362743378,0.856561362743378,0.00620709709593806
"OTU915_g__Saliniradius",0.853046536445618,0.853046536445618,0.00618162680384401
"OTU227_g__Akkermansia",0.852674305438995,0.852674305438995,0.00617892942091183
"OTU1163_g__Yersinia",0.852414488792419,0.852414488792419,0.00617704665194444
"OTU623_g__Aquincola",0.852165341377258,0.852165341377258,0.00617524119787615
"OTU912_g__Agarivorans",0.851953089237213,0.851953089237213,0.00617370310650362
"OTU1931_g__Gudongella",0.848784565925598,0.848784565925598,0.00615074230917913
"OTU1960_g__Amedibacterium",0.848186552524567,0.848186552524567,0.00614640878748842
"OTU238_g__Desulfurivibrio",0.848096966743469,0.848096966743469,0.00614575960149209
"OTU1199_g__Symbiopectobacterium",0.847490012645721,0.847490012645721,0.00614136129077979
"OTU1476_g__Parabacteroides",0.846982896327972,0.846982896327972,0.00613768645747524
"OTU1483_g__Pseudoprevotella",0.842091381549835,0.842091381549835,0.00610223995183684
"OTU1455_g__Barnesiella",0.841188788414001,0.841188788414001,0.00609569928414398
"OTU206_g__Candidatus_Nanosynbacter",0.839961647987366,0.839961647987366,0.00608680677496743
"OTU911_g__Paraglaciecola",0.839102685451508,0.839102685451508,0.00608058227769992
"OTU151_g__Treponema",0.838907301425934,0.838907301425934,0.00607916642161479
"OTU211_g__Candidatus_Protochlamydia",0.838625848293304,0.838625848293304,0.00607712686321516
"OTU1979_g__Kroppenstedtia",0.838361978530884,0.838361978530884,0.00607521472322464
"OTU914_g__Saccharobesus",0.837896466255188,0.837896466255188,0.00607184137483389
"OTU194_g__Sulfuricurvum",0.836515128612518,0.836515128612518,0.00606183147099832
"OTU228_g__Candidatus_Desulfofervidus",0.835547924041748,0.835547924041748,0.00605482259464277
"OTU625_g__Caldimonas",0.833488702774048,0.833488702774048,0.00603990038719029
"OTU1209_g__Citrobacter",0.833399832248688,0.833399832248688,0.00603925638431569
"OTU219_g__Horticoccus",0.832604289054871,0.832604289054871,0.00603349145717467
"OTU1139_g__Erwinia",0.831886768341064,0.831886768341064,0.00602829192222871
"OTU250_g__Desulforapulum",0.831823647022247,0.831823647022247,0.00602783451173629
"OTU480_g__Sphingomonas",0.826918303966522,0.826918303966522,0.00599228779907783
"OTU398_g__Xanthobacter",0.826411068439484,0.826411068439484,0.00598861210191966
"OTU29_g__Fluviispira",0.825127899646759,0.825127899646759,0.00597931358154114
"OTU2039_g__Paenibacillus",0.82195633649826,0.82195633649826,0.00595633075594932
"OTU910_g__Catenovulum",0.821360468864441,0.821360468864441,0.00595201278362378
"OTU1608_g__Gordonibacter",0.820944845676422,0.820944845676422,0.0059490009579735
"OTU608_g__Paralysiella",0.819336652755737,0.819336652755737,0.0059373471406968
"OTU246_g__Desulfosarcina",0.819200336933136,0.819200336933136,0.00593635932408096
"OTU1087_g__Pseudomonas",0.818700015544891,0.818700015544891,0.00593273373043282
"OTU1977_g__Novibacillus",0.817294776439667,0.817294776439667,0.0059225506239462
"OTU759_g__Steroidobacter",0.816236913204193,0.816236913204193,0.00591488478691174
"OTU1558_g__Spiroplasma",0.815366983413696,0.815366983413696,0.00590858081511109
"OTU239_g__Desulfobacca",0.815338313579559,0.815338313579559,0.00590837305831519
"OTU1387_g__Flavobacterium",0.815161347389221,0.815161347389221,0.00590709066761453
"OTU622_g__Uruburuella",0.814716696739197,0.814716696739197,0.00590386849360748
"OTU1577_g__Euzebya",0.812816739082336,0.812816739082336,0.00589010039459291
"OTU248_g__Desulfonema",0.81018191576004,0.81018191576004,0.00587100706993051
"OTU628_g__Schlegelella",0.809554278850555,0.809554278850555,0.00586645888061493
"OTU132_g__Thermus",0.809045195579529,0.809045195579529,0.00586276979372562
"OTU1400_g__Chryseobacterium",0.808318436145782,0.808318436145782,0.00585750331012402
"OTU1475_g__Tannerella",0.806349575519562,0.806349575519562,0.00584323590371641
"OTU908_g__Shewanella",0.806317210197449,0.806317210197449,0.00584300136745825
"OTU1958_g__Erysipelothrix",0.806072950363159,0.806072950363159,0.00584123133138843
"OTU1612_g__Eggerthella",0.804181933403015,0.804181933403015,0.00582752802139545
"OTU1198_g__Pluralibacter",0.803501009941101,0.803501009941101,0.0058225936895112
"OTU1974_g__Polycladomyces",0.801666080951691,0.801666080951691,0.005809296822647
"OTU1965_g__Hydrogenibacillus",0.800655126571655,0.800655126571655,0.00580197091201247
"OTU213_g__Waddlia",0.798601806163788,0.798601806163788,0.00578709146531424
"OTU1166_g__Arsenophonus",0.793775916099548,0.793775916099548,0.00575212051109431
"OTU611_g__Conchiformibius",0.793730139732361,0.793730139732361,0.00575178879130377
"OTU1507_g__Prevotella",0.792608559131622,0.792608559131622,0.00574366122450878
"OTU1658_g__Pseudonocardia",0.791952788829803,0.791952788829803,0.0057389091657386
"OTU919_g__Zobellella",0.788970828056335,0.788970828056335,0.00571730029933128
"OTU1947_g__Turicibacter",0.788764357566833,0.788764357566833,0.00571580410485938
"OTU1976_g__Laceyella",0.788657367229462,0.788657367229462,0.00571502879623436
"OTU621_g__Aquella",0.788445115089417,0.788445115089417,0.00571349070486182
"OTU231_g__Desulfotalea",0.787200450897217,0.787200450897217,0.00570447120920295
"OTU232_g__Desulfosediminicola",0.786388456821442,0.786388456821442,0.0056985870702622
"OTU216_g__Ruficoccus",0.784416675567627,0.784416675567627,0.00568429849944086
"OTU1149_g__Serratia",0.784043073654175,0.784043073654175,0.00568159118219205
"OTU1195_g__Kluyvera",0.78275191783905,0.78275191783905,0.00567223478362091
"OTU1305_g__Mannheimia",0.779284656047821,0.779284656047821,0.00564710916912171
"OTU990_g__Acinetobacter",0.775615811347961,0.775615811347961,0.00562052277814908
