"compound.lower","herb_en_name","herb_cn_name","herb_pinyin","Mol.ID","Mol.ID2","Compound.EN","OB...","MW","DL","CID","InChIKey","Name","Bestname","CanonicalSMILES","XLogP","superclass","class","subclass","KEGGID","Keggid","HMDBID","MolecularFormula","Synonym.separate","entrez_gene_symbol"
"2-methyltridecane","Panax Ginseng C. A. Mey.","人参","Renshen","MOL005278","TCMol22434","2-METHYLTRIDECANE","5.74985641957","198.440","0.039044","15269","CJBFZKZYIPBBTO-UHFFFAOYSA-N","2-methyltridecane","2-methyltridecane","CCCCCCCCCCCC(C)C",7.5,NA,NA,NA,NA,NA,"HMDB0062732","C14H30","2-methyltridecane",NA
"2,3,4-trimethyldecane","Panax Ginseng C. A. Mey.","人参","Renshen","MOL005275","TCMol22431","2,3,4-Trimethyldecane","16.1476750039","184.410","0.03038","537769",NA,"2,3,4-trimethyldecane;NA","2,3,4-trimethyldecane",NA,NA,NA,NA,NA,NA,NA,"HMDB0030313","C13H28","2,3,4-trimethyldecane",NA
"2,3,8-trimethyldecane","Panax Ginseng C. A. Mey.","人参","Renshen","MOL005276","TCMol22432","2,3,8-Trimethyldecane","5.50878724754","184.410","0.030214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2,6-dimethyl-3,7-octadiene-2,6-diol","Panax Ginseng C. A. Mey.","人参","Renshen","MOL001706","TCMol22390","2,6-dimethyl-3,7-octadiene-2,6-diol","52.4022578762","170.280","0.031108","5352451","QEOHJVNDENHRCH-VOTSOKGWSA-N","(3E)-2,6-dimethylocta-3,7-diene-2,6-diol;2,6-Dimethyl-3,7-octadiene-2,6-diol;2,6-dimethylocta-3,7-diene-2,6-diol","3,7-Dimethyloct-1,5-dien-3,7-diol","CC(C)(C=CCC(C)(C=C)O)O",1.1,"Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols",NA,NA,"HMDB0036990","C10H18O2","2,6-Dimethyl-3,7-octadiene-2,6-diol","TMEFF2;AR;FOXL2;WNT5A"
"2,6,10,15-tetramethylheptadecane","Panax Ginseng C. A. Mey.","人参","Renshen","MOL005277","TCMol22433","2,6,10,15-tetramethylheptadecane","13.7337772742","296.650","0.12959","41209",NA,"2,6,10,15-tetramethylheptadecane;NA","2,6,10,15-tetramethylheptadecane",NA,NA,NA,NA,NA,NA,NA,"HMDB0062787","C21H44","2,6,10,15-tetramethylheptadecane",NA
"20-(s)-ginsenoside-rg3","Panax Ginseng C. A. Mey.","人参","Renshen","MOL005287","TCMol22443","20-(S)-Ginsenoside-Rg3","13.689891307","785.140","0.21593",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20-(s)-ginsenoside-rg3_qt","Panax Ginseng C. A. Mey.","人参","Renshen","MOL005288","TCMol22444","20-(S)-Ginsenoside-Rg3_qt","29.692037474","460.820","0.7707",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20-hexadecanoylingenol","Panax Ginseng C. A. Mey.","人参","Renshen","MOL002307","TCMol22400","20-Hexadecanoylingenol","28.2039541506","586.940","0.68297",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20(r)-ginsenoside rg2","Panax Ginseng C. A. Mey.","人参","Renshen","MOL005286","TCMol22442","20(R)-ginsenoside Rg2","10.09229647","785.140","0.25878","75412551","AGBCLJAHARWNLA-RPNKVCLTSA-N","20(R)-Ginsenoside Rg2;20R-Ginsenoside Rg2","20(R)-Ginsenoside Rg2","CC1C(C(C(C(O1)OC2C(C(C(OC2OC3CC4(C(CC(C5C4(CCC5C(C)(CCC=C(C)C)O)C)O)C6(C3C(C(CC6)O)(C)C)C)C)CO)O)O)O)O)O",3.2,"Lipids and lipid-like molecules","Prenol lipids","Terpene glycosides",NA,NA,NA,"C42H72O13","20(R)-Ginsenoside Rg2",NA
"20(r)-ginsenoside rg2","Panax Ginseng C. A. Mey.","人参","Renshen","MOL005286","TCMol22442","20(R)-ginsenoside Rg2","10.09229647","785.140","0.25878","157711","AGBCLJAHARWNLA-TZTDDQMKSA-N","20(R)-Ginsenoside Rg2","20(R)-Ginsenoside Rg2","CC1C(C(C(C(O1)OC2C(C(C(OC2OC3CC4(C(CC(C5C4(CCC5C(C)(CCC=C(C)C)O)C)O)C6(C3C(C(CC6)O)(C)C)C)C)CO)O)O)O)O)O",3.2,NA,NA,NA,NA,NA,NA,"C42H72O13","20(R)-Ginsenoside Rg2",NA
"20(r)-ginsenoside rg2","Panax Ginseng C. A. Mey.","人参","Renshen","MOL005286","TCMol22442","20(R)-ginsenoside Rg2","10.09229647","785.140","0.25878","46887679","AGBCLJAHARWNLA-VMZCBEPPSA-N","20(R)-Ginsenoside Rg2","20(R)-Ginsenoside Rg2","CC1C(C(C(C(O1)OC2C(C(C(OC2OC3CC4(C(CC(C5C4(CCC5C(C)(CCC=C(C)C)O)C)O)C6(C3C(C(CC6)O)(C)C)C)C)CO)O)O)O)O)O",3.2,NA,NA,NA,NA,NA,NA,"C42H72O13","20(R)-Ginsenoside Rg2","TOP1;TOP2A"
"20(r)-ginsenoside rg2","Panax Ginseng C. A. Mey.","人参","Renshen","MOL005286","TCMol22442","20(R)-ginsenoside Rg2","10.09229647","785.140","0.25878","12912318","AGBCLJAHARWNLA-UHFFFAOYSA-N","2-[(2-{[5,16-dihydroxy-14-(2-hydroxy-6-methylhept-5-en-2-yl)-2,6,6,10,11-pentamethyltetracyclo[8.7.0.0²,⁷.0¹¹,¹⁵]heptadecan-8-yl]oxy}-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl)oxy]-6-methyloxane-3,4,5-triol;20(R)-Ginsenoside Rg2","20(R)-Ginsenoside Rg2","CC1C(C(C(C(O1)OC2C(C(C(OC2OC3CC4(C(CC(C5C4(CCC5C(C)(CCC=C(C)C)O)C)O)C6(C3C(C(CC6)O)(C)C)C)C)CO)O)O)O)O)O",3.2,"Lipids and lipid-like molecules","Prenol lipids","Triterpenoids",NA,NA,"HMDB0035395","C42H72O13","20(R)-Ginsenoside Rg2",NA
"20(r)-ginsenoside rg2","Panax Ginseng C. A. Mey.","人参","Renshen","MOL005286","TCMol22442","20(R)-ginsenoside Rg2","10.09229647","785.140","0.25878","146159815","AGBCLJAHARWNLA-SZELXCBBSA-N","20(R)-Ginsenoside Rg2","20(R)-Ginsenoside Rg2","CC1C(C(C(C(O1)OC2C(C(C(OC2OC3CC4(C(CC(C5C4(CCC5C(C)(CCC=C(C)C)O)C)O)C6(C3C(C(CC6)O)(C)C)C)C)CO)O)O)O)O)O",3.2,NA,NA,NA,NA,NA,NA,"C42H72O13","20(R)-Ginsenoside Rg2",NA
"20(s)-ginsenoside-rg2","Panax Ginseng C. A. Mey.","人参","Renshen","MOL005283","TCMol22439","20(S)-ginsenoside-Rg2","10.0922964744","785.140","0.25819",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20(s)-ginsenoside-rh1","Panax Ginseng C. A. Mey.","人参","Renshen","MOL005281","TCMol22437","20(S)-Ginsenoside-Rh1","3.94224853087","638.980","0.57259",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20(s)-ginsenoside-rh1_qt","Panax Ginseng C. A. Mey.","人参","Renshen","MOL005282","TCMol22438","20(S)-Ginsenoside-Rh1_qt","20.12704418","476.820","0.77995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20(s)-protopanaxadiol","Panax Ginseng C. A. Mey.","人参","Renshen","MOL005285","TCMol22441","20(s)-protopanaxadiol","29.692037474","460.820","0.77148","11213350","PYXFVCFISTUSOO-HKUCOEKDSA-N","(20S)-Protopanaxadiol;20(s)-protopanaxadiol;20(S)-Protopanaxadiol;Protopanaxadiol","(20S)-Protopanaxadiol","CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)O)C)C)O)C)O)C",7.2,"Lipids and lipid-like molecules","Prenol lipids","Triterpenoids","C20715",NA,NA,"C30H52O3","20(s)-protopanaxadiol","MMP2;NOS2;HOXA10;VDR;Soat1;ESR1;PTPN1"
"20(s)-protopanaxadiol","Panax Ginseng C. A. Mey.","人参","Renshen","MOL005285","TCMol22441","20(s)-protopanaxadiol","29.692037474","460.820","0.77148","9890474","PYXFVCFISTUSOO-BKYULYPYSA-N","20(s)-protopanaxadiol;20(S)-Protopanaxadiol;Protopanaxadiol","20(S)-Protopanaxadiol","CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)O)C)C)O)C)O)C",7.2,"Lipids and lipid-like molecules","Prenol lipids","Triterpenoids",NA,NA,NA,"C30H52O3","20(s)-protopanaxadiol",NA
"20(s)-protopanaxadiol","Panax Ginseng C. A. Mey.","人参","Renshen","MOL005285","TCMol22441","20(s)-protopanaxadiol","29.692037474","460.820","0.77148","71463826","PYXFVCFISTUSOO-FUGCFWOQSA-N","20(s)-protopanaxadiol;20(S)-Protopanaxadiol;Protopanaxadiol","20(S)-Protopanaxadiol","CC(=CCCC(C)(C1CCC2(C1C(CC3C2(CCC4C3(CCC(C4(C)C)O)C)C)O)C)O)C",7.2,NA,NA,NA,NA,NA,NA,"C30H52O3","20(S)-protopanaxadiol",NA
