"variable","relative_importance","scaled_importance","percentage"
"OTU1146_g__Rouxiella",0.820873022079468,0.820873022079468,0.0059234147091022
"OTU1672_g__Microlunatus",0.8205925822258,0.8205925822258,0.00592139105683254
"OTU1681_g__Arachnia",0.820578694343567,0.820578694343567,0.00592129084195925
"OTU912_g__Agarivorans",0.81960517168045,0.81960517168045,0.00591426590837361
"OTU1400_g__Chryseobacterium",0.819306492805481,0.819306492805481,0.00591211064343774
"OTU1312_g__Pasteurella",0.817004501819611,0.817004501819611,0.0058954994905564
"OTU620_g__Neisseria",0.816199779510498,0.816199779510498,0.00588969261929333
"OTU1965_g__Hydrogenibacillus",0.816108703613281,0.816108703613281,0.00588903541617579
"OTU911_g__Paraglaciecola",0.815176784992218,0.815176784992218,0.00588231069710327
"OTU624_g__Inhella",0.814941048622131,0.814941048622131,0.00588060962489785
"OTU1475_g__Tannerella",0.814712882041931,0.814712882041931,0.00587896317624997
"OTU1172_g__Morganella",0.814123868942261,0.814123868942261,0.00587471286132355
"OTU107_g__Acaryochloris",0.813639760017395,0.813639760017395,0.00587121953428121
"OTU1608_g__Gordonibacter",0.81312096118927,0.81312096118927,0.00586747588510902
"OTU1314_g__Aggregatibacter",0.812876999378204,0.812876999378204,0.00586571545817177
"OTU1147_g__Rahnella",0.811377584934235,0.811377584934235,0.00585489569271042
"OTU1931_g__Gudongella",0.809355020523071,0.809355020523071,0.00584030088028396
"OTU1558_g__Spiroplasma",0.809130012989044,0.809130012989044,0.00583867722729396
"OTU1476_g__Parabacteroides",0.80816388130188,0.80816388130188,0.00583170562694561
"OTU594_g__Gallionella",0.807974278926849,0.807974278926849,0.00583033745736648
"OTU2039_g__Paenibacillus",0.805217027664185,0.805217027664185,0.00581044114911093
"OTU608_g__Paralysiella",0.803786337375641,0.803786337375641,0.005800117296735
"OTU398_g__Xanthobacter",0.802998960018158,0.802998960018158,0.00579443558653686
"OTU1510_g__Bacteroides",0.802749752998352,0.802749752998352,0.00579263731020541
"OTU1588_g__Conexibacter",0.802114009857178,0.802114009857178,0.00578804979158517
"OTU1573_g__Mycoplasmopsis",0.801509439945221,0.801509439945221,0.00578368721879639
"OTU1577_g__Euzebya",0.800014197826385,0.800014197826385,0.0057728975608077
"OTU1963_g__Faecalibaculum",0.799687504768372,0.799687504768372,0.00577054014569824
"OTU1936_g__Anaerococcus",0.799468100070953,0.799468100070953,0.00576895692274295
"OTU1787_g__Tetrasphaera",0.79941725730896,0.79941725730896,0.00576859004168322
"OTU330_g__Caulobacter",0.79823637008667,0.79823637008667,0.00576006876670627
"OTU1970_g__Kyrpidia",0.796076834201813,0.796076834201813,0.00574448556896298
"OTU1966_g__Sporolactobacillus",0.794081151485443,0.794081151485443,0.00573008473468181
"OTU919_g__Zobellella",0.79206120967865,0.79206120967865,0.00571550884695245
"OTU1149_g__Serratia",0.791530013084412,0.791530013084412,0.00571167573557578
"OTU1087_g__Pseudomonas",0.789798438549042,0.789798438549042,0.00569918070431415
"OTU216_g__Ruficoccus",0.789592564105988,0.789592564105988,0.00569769511559164
"OTU248_g__Desulfonema",0.789271295070648,0.789271295070648,0.00569537684019663
"OTU890_g__Thalassotalea",0.789258003234863,0.789258003234863,0.00569528092639086
"OTU224_g__Luteolibacter",0.785070061683655,0.785070061683655,0.00566506076575939
