"variable","relative_importance","scaled_importance","percentage"
"OTU1143_s__Nissabacter_sp._SGAir0207",0.0524745658040047,0.45574401729843,0.00634409767140132
"OTU1502_s__Prevotella_nigrescens",0.0522042699158192,0.453396485078706,0.0063114192968678
"OTU1948_s__Turicibacter_sanguinis",0.0519168190658092,0.450899961226586,0.00627666691273181
"OTU912_s__Agarivorans_sp._TSD2052",0.0516754388809204,0.448803563219819,0.00624748440411238
"OTU1474_s__Tannerella_serpentiformis",0.0516630411148071,0.448695888050955,0.00624598553246048
"OTU1969_s__Tumebacillus_algifaecis",0.0509357340633869,0.442379192860722,0.00615805518181131
"OTU1819_s__Actinotalea_sp._JY-7876",0.0507996156811714,0.441196998451134,0.00614159867000569
"OTU1738_s__Corynebacterium_urealyticum",0.0503523908555508,0.437312830272874,0.00608752984768499
"OTU906_s__Shewanella_dokdonensis",0.049577634781599,0.430584038139787,0.00599386298013968
"OTU1964_s__Faecalibacillus_intestinalis",0.0495676584541798,0.430497393277342,0.00599265685685729
"OTU624_s__Inhella_inkyongensis",0.0484750308096409,0.421007871934881,0.00586055978489069
"OTU1016_s__Pseudomonas_oryzae",0.0477895177900791,0.415054159833435,0.00577768227109933
"OTU233_s__Desulfomarina_profundi",0.0475511886179447,0.412984260012755,0.00574886862542549
"OTU911_s__Paraglaciecola_psychrophila",0.0472439229488373,0.410315643545495,0.00571172065886266
"OTU1164_s__Candidatus_Arsenophonus_lipoptenae",0.0471202209591866,0.409241286076358,0.00569676527061949
"OTU1496_s__Prevotella_oris",0.0469643697142601,0.407887710846617,0.00567792308479339
"OTU1967_s__Effusibacillus_dendaii",0.0464844927191734,0.40371995707488,0.00561990666330533
"OTU2038_s__Paenibacillus_beijingensis",0.0459887757897377,0.399414632744847,0.00555997521709853
"OTU1962_s__Allobaculum_mucilyticum",0.0459531247615814,0.399105001925729,0.00555566506033508
"OTU918_s__Succinivibrio_dextrinosolvens",0.0459443777799606,0.399029033988081,0.00555460756314798
"OTU909_s__Shewanella_baltica",0.0459409318864346,0.398999106244332,0.00555419095969906
"OTU916_s__Alteromonas_sp._LMIT006",0.0458520837128162,0.398227455770354,0.00554344934644845
"OTU611_s__Conchiformibius_steedae",0.0453374832868576,0.393758127404573,0.00548123491334156
"OTU621_s__Aquella_oligotrophica",0.0452763251960278,0.393226966573072,0.00547384099029186
"OTU1302_s__Otariodibacter_oris",0.0445308610796928,0.386752576439017,0.00538371547725346
"OTU1076_s__Pseudomonas_sp._KNUC1026",0.0440675728023052,0.382728896443406,0.00532770460728761
"OTU1476_s__Parabacteroides_goldsteinii",0.0437831059098244,0.380258288399657,0.00529331297921928
"OTU1965_s__Hydrogenibacillus_sp._N12",0.0433987714350224,0.376920325810566,0.005246847507628
"OTU213_s__Waddlia_chondrophila",0.0433967299759388,0.376902595644539,0.00524660069823339
"OTU1494_s__Prevotella_denticola",0.0433036312460899,0.376094028894217,0.00523534519899876
"OTU1695_s__Nocardioides_pantholopis",0.0431917868554592,0.375122655217897,0.00522182337700199
"OTU890_s__Thalassotalea_sp._LPB0316",0.0430469401180744,0.373864654642249,0.0052043116199198
"OTU1158_s__Yersinia_intermedia",0.0428993329405785,0.372582679517284,0.00518646612969637
"OTU1305_s__Mannheimia_haemolytica",0.0428518950939178,0.372170679637383,0.00518073096394655
"OTU910_s__Catenovulum_sp._TS8",0.0426937118172646,0.370796850604845,0.0051616068389215
"OTU1577_s__Euzebya_pacifica",0.0426271259784698,0.370218549532648,0.00515355670914199
"OTU1312_s__Pasteurella_multocida",0.0425549447536469,0.369591652275466,0.00514483010543785
"OTU607_s__Aquaspirillum_sp._LM1",0.041744951158762,0.362556820652512,0.00504690307354296
"OTU1968_s__Tumebacillus_avium",0.0409429296851158,0.355591227269151,0.00494993985935693
"OTU889_s__Thalassomonas_viridans",0.0408057421445847,0.354399747170421,0.00493335408788662
"OTU1737_s__Corynebacterium_matruchotii",0.0407847166061401,0.354217139402072,0.00493081213127503
"OTU1841_s__Rothia_nasimurium",0.0407821051776409,0.354194459025457,0.00493049641341807
"OTU1510_s__Bacteroides_luhongzhouii",0.040597926825285,0.352594861564934,0.00490822952205077
"OTU1953_s__Erysipelothrix_sp._Poltava",0.0404631458222866,0.351424282355353,0.00489193469742154
"OTU15_s__Flexistipes_sinusarabici",0.0403084643185139,0.350080866381327,0.00487323393157702
"OTU1714_s__Rhodococcus_sp._PBTS_1",0.0402340516448021,0.349434588887923,0.00486423754899082
"OTU1083_s__Candidatus_Pseudomonas_adelgestsugas",0.0400959365069866,0.348235052564119,0.00484753963237588
"OTU1166_s__Arsenophonus_nasoniae",0.0397797003388405,0.345488526900156,0.00480930714569953
"OTU2023_s__Paenibacillus_sp._RUD330",0.0395000837743282,0.343060044177879,0.00477550191513444
"OTU1742_s__Corynebacterium_diphtheriae",0.0383471362292767,0.33304664172537,0.00463611225609221
"OTU919_s__Zobellella_denitrificans",0.0383284911513329,0.332884708365946,0.00463385809364695
"OTU1743_s__Corynebacterium_maris",0.0382035039365292,0.331799188657249,0.00461874732357688
"OTU1955_s__Erysipelothrix_piscisicarius",0.038178950548172,0.331585941350164,0.00461577885511002
