"vina_results","Model","Path","ligand","receptor"
50.011,"Model_2","output/Docking_Vina/results_Vina_X131900_6UNG.pdb_ligand_vina_out_score.csv","X131900","6UNG"
50.591,"Model_3","output/Docking_Vina/results_Vina_X131900_6UNG.pdb_ligand_vina_out_score.csv","X131900","6UNG"
51.188,"Model_4","output/Docking_Vina/results_Vina_X131900_6UNG.pdb_ligand_vina_out_score.csv","X131900","6UNG"
34.346,"Model_1","output/Docking_Vina/results_Vina_X131900_6UNH.pdb_ligand_vina_out_score.csv","X131900","6UNH"
-8.534,"Model_1","output/Docking_Vina/results_Vina_X131900_6UNI.pdb_ligand_vina_out_score.csv","X131900","6UNI"
-8.531,"Model_2","output/Docking_Vina/results_Vina_X131900_6UNI.pdb_ligand_vina_out_score.csv","X131900","6UNI"
-8.453,"Model_3","output/Docking_Vina/results_Vina_X131900_6UNI.pdb_ligand_vina_out_score.csv","X131900","6UNI"
-8.177,"Model_4","output/Docking_Vina/results_Vina_X131900_6UNI.pdb_ligand_vina_out_score.csv","X131900","6UNI"
-7.001,"Model_5","output/Docking_Vina/results_Vina_X131900_6UNI.pdb_ligand_vina_out_score.csv","X131900","6UNI"
-6.522,"Model_6","output/Docking_Vina/results_Vina_X131900_6UNI.pdb_ligand_vina_out_score.csv","X131900","6UNI"
-9.86,"Model_1","output/Docking_Vina/results_Vina_X131900_6UNJ.pdb_ligand_vina_out_score.csv","X131900","6UNJ"
-8.722,"Model_2","output/Docking_Vina/results_Vina_X131900_6UNJ.pdb_ligand_vina_out_score.csv","X131900","6UNJ"
-8.566,"Model_3","output/Docking_Vina/results_Vina_X131900_6UNJ.pdb_ligand_vina_out_score.csv","X131900","6UNJ"
-8.385,"Model_4","output/Docking_Vina/results_Vina_X131900_6UNJ.pdb_ligand_vina_out_score.csv","X131900","6UNJ"
-8.332,"Model_5","output/Docking_Vina/results_Vina_X131900_6UNJ.pdb_ligand_vina_out_score.csv","X131900","6UNJ"
-8.322,"Model_6","output/Docking_Vina/results_Vina_X131900_6UNJ.pdb_ligand_vina_out_score.csv","X131900","6UNJ"
-8.284,"Model_7","output/Docking_Vina/results_Vina_X131900_6UNJ.pdb_ligand_vina_out_score.csv","X131900","6UNJ"
-8.148,"Model_8","output/Docking_Vina/results_Vina_X131900_6UNJ.pdb_ligand_vina_out_score.csv","X131900","6UNJ"
-8.127,"Model_9","output/Docking_Vina/results_Vina_X131900_6UNJ.pdb_ligand_vina_out_score.csv","X131900","6UNJ"
