"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0001678","intracellular glucose homeostasis","31/835","166/18888",0.186746987951807,4.22428396219609,8.9734871131684,8.17000479414139e-12,8.90025811840538e-11,3.48814876498498e-11,"5290/3091/5894/3480/5295/3383/1277/4088/23411/1080/1636/1392/7494/10891/9971/7351/55107/5076/50507/2641/2852/2645/51085/6514/5562/5581/3651/5563/3099/653361/4986",31
"BP","GO:0002274","myeloid leukocyte activation","38/835","241/18888",0.157676348547718,3.56669565433448,8.62439120468912,8.27695812062864e-12,8.9993978178627e-11,3.5270031460178e-11,"7124/3569/3458/3586/3576/3565/5294/3717/2335/7099/5788/1437/695/7097/5580/5293/7057/4067/3146/6850/351/1191/3949/6622/4282/3329/5320/5663/8877/5777/5581/6095/7442/1075/10062/4495/5729/56670",38
"BP","GO:0008625","extrinsic apoptotic signaling pathway via death domain receptors","22/835","84/18888",0.261904761904762,5.92437981180496,9.72783287525588,8.40889306924295e-12,9.12526607494961e-11,3.57633286204037e-11,"7124/672/596/356/841/5894/581/5295/8795/3082/3383/598/2932/5054/7057/4803/1612/4846/3162/6789/11315/2243",22
"BP","GO:0061448","connective tissue development","42/835","288/18888",0.145833333333333,3.29880239520958,8.45456854611733,9.10657014323022e-12,9.86341176933745e-11,3.86562357226522e-11,"5290/1499/5925/406991/2260/7040/5468/3091/5781/2247/5914/5595/8313/1432/5915/142/1277/4088/6935/1906/23411/860/4322/1958/650/7494/10891/3690/9971/5467/59/3373/5562/1386/4017/659/79068/5916/6097/7704/2355/3292",42
"BP","GO:0002761","regulation of myeloid leukocyte differentiation","27/835","128/18888",0.2109375,4.77148203592814,9.20768912709698,9.49217481035572e-12,1.02613682863673e-10,4.0215888841616e-11,"7124/1499/5925/4609/3458/7040/2475/841/3565/5295/3605/5914/1021/7099/1385/9370/5578/4067/2353/3567/51176/3375/1051/4057/5771/3297/714",27
"BP","GO:0043525","positive regulation of neuron apoptotic process","20/835","69/18888",0.289855072463768,6.55662587867743,9.9446034123761,9.66213875441545e-12,1.04251336503186e-10,4.08577106229785e-11,"7157/7124/1499/356/841/581/4313/836/2932/842/4170/10018/1728/6416/1649/840/468/23621/23581/2898",20
"BP","GO:0045861","negative regulation of proteolysis","37/835","231/18888",0.16017316017316,3.62317443036006,8.62704952850021,9.68604379238309e-12,1.04309818932095e-10,4.08806307910745e-11,"7157/7124/207/4193/3586/7422/6714/5894/4318/3630/7376/5054/7057/331/5328/2597/5327/5265/2147/7448/6622/10013/11315/7874/3827/5076/5663/12/4057/1457/866/10062/197/710/1378/6197/3053",37
"BP","GO:1904385","cellular response to angiotensin","15/835","36/18888",0.416666666666667,9.4251497005988,10.8817864281025,9.92856798659864e-12,1.06717922187383e-10,4.18244036889098e-11,"6714/4790/3480/5970/4780/857/5580/5578/1636/183/185/3297/760/186/815",15
"BP","GO:0046824","positive regulation of nucleocytoplasmic transport","19/835","62/18888",0.306451612903226,6.93204558624686,10.0616993041713,1.06692279692291e-11,1.14460938080532e-10,4.48590113335009e-11,"999/4193/3458/7040/3553/5295/5743/3717/10155/2932/3320/1432/4088/5580/983/8841/3728/5663/51548",19
"BP","GO:0032890","regulation of organic acid transport","21/835","77/18888",0.272727272727273,6.1691888949374,9.77488958385533,1.07249613770262e-11,1.14840525712636e-10,4.50077775953902e-11,"7124/207/3553/3552/1906/7057/6850/5465/6622/4282/59272/5663/5562/135/8647/9536/2170/1066/134/18/5025",21
"BP","GO:0010810","regulation of cell-substrate adhesion","36/835","221/18888",0.16289592760181,3.68476440783591,8.63406058242345,1.12011430102099e-11,1.19712215921619e-10,4.69170683103091e-11,"5728/1029/596/7422/6714/3791/5295/3717/1021/2335/2932/5747/1277/4088/5054/7057/5879/5328/5291/948/3728/335/3690/7448/2185/5034/6789/5340/5590/5581/4321/246/2243/7402/1845/5786",36
"BP","GO:0055089","fatty acid homeostasis","11/835","17/18888",0.647058823529412,14.6367030644593,12.0972435473927,1.14625507509536e-11,1.22274430789473e-10,4.79212399318545e-11,"3630/348/23411/406921/7494/9971/51085/5562/5563/339221/134",11
"BP","GO:0009134","nucleoside diphosphate catabolic process","24/835","102/18888",0.235294117647059,5.32243747798521,9.41372882745651,1.15678467623774e-11,1.2293288000018e-10,4.81792963579242e-11,"3458/6774/2475/3091/3630/5315/3643/2597/2023/351/9759/5465/3939/7351/5663/2645/51085/51548/5562/5563/3099/226/7167/4967",24
"BP","GO:0032677","regulation of interleukin-8 production","24/835","102/18888",0.235294117647059,5.32243747798521,9.41372882745651,1.15678467623774e-11,1.2293288000018e-10,4.81792963579242e-11,"7124/3569/6774/3586/3553/5970/1401/7099/5788/4843/7097/406986/9370/5054/2152/3146/6850/406921/1991/1649/11315/2149/336/5319",24
