"variable","relative_importance","scaled_importance","percentage","model","Importance"
"OTU2511_g__Anaerotruncus",1.42857146263123,0.0306763413485743,0.00386578886082749,"DRF",0.0306763413485743
"OTU2332_g__Megamonas",1.38888883590698,0.0298242189067898,0.00375840560393643,"DRF",0.0298242189067898
"OTU2560_g__Lachnoclostridium",1.33333337306976,0.0286312520959915,0.00360806962494476,"DRF",0.0286312520959915
"OTU1449_g__Porphyromonas",1.33333337306976,0.0286312520959915,0.00360806962494476,"DRF",0.0286312520959915
"OTU1923_g__Bifidobacterium",1.33333325386047,0.0286312495361582,0.0036080693023582,"DRF",0.0286312495361582
"OTU1601_g__Berryella",1.28320801258087,0.0275548882536498,0.00347242778602267,"DRF",0.0275548882536498
"OTU2333_g__Acidaminococcus",1.19444441795349,0.0256488286694126,0.00323222887099918,"DRF",0.0256488286694126
"OTU2515_g__Acutalibacter",1.16666674613953,0.0250523465439301,0.00315706104279662,"DRF",0.0250523465439301
"OTU1531_g__Bacteroides",1.02272725105286,0.0219614706582482,0.00276755326436578,"DRF",0.0219614706582482
"OTU1607_g__Denitrobacterium",0.964285731315613,0.020706530282296,0.00260940746492923,"DRF",0.020706530282296
"OTU1456_g__Odoribacter",0.95652174949646,0.0205398108967149,0.00258839772532763,"DRF",0.0205398108967149
"OTU2232_g__Lactobacillus",0.941176474094391,0.020210295070146,0.00254687261001671,"DRF",0.020210295070146
"OTU167_g__Pyramidobacter",0.928571403026581,0.0199396208526399,0.00251276263050324,"DRF",0.0199396208526399
"OTU84_g__Cetobacterium",0.859523832798004,0.018456932104455,0.00232591630545822,"DRF",0.018456932104455
"OTU2433_g__Peptostreptococcus",0.845029234886169,0.0181456832485981,0.00228669316778856,"DRF",0.0181456832485981
"OTU2448_g__Hungatella",0.836601316928864,0.0179647068712316,0.00226388678238078,"DRF",0.0179647068712316
"OTU2439_g__Paeniclostridium",0.833333313465118,0.0178945316000572,0.00225504339462052,"DRF",0.0178945316000572
"OTU1322_g__Haemophilus",0.833333313465118,0.0178945316000572,0.00225504339462052,"DRF",0.0178945316000572
"OTU1232_g__Candidatus_Moranella",0.833333313465118,0.0178945316000572,0.00225504339462052,"DRF",0.0178945316000572
"OTU2577_g__Dorea",0.800000011920929,0.0171787510016116,0.0021648417427082,"DRF",0.0171787510016116
"OTU2498_g__Clostridium",0.75,0.0161050788240265,0.00202953910354645,"DRF",0.0161050788240265
"OTU2562_g__Anaeromicropila",0.75,0.0161050788240265,0.00202953910354645,"DRF",0.0161050788240265
"OTU2251_g__Limosilactobacillus",0.75,0.0161050788240265,0.00202953910354645,"DRF",0.0161050788240265
