gene_symbol,article_count
FERROPTOSIS,2
EPUB,2
AIS,2
EXPLORATION,2
PITTSBURGH,2
INSTITUTES,2
HAMILTON,2
HAMD,2
TOLUIDINE,2
LA,2
WOMAC,2
WL,2
OPRM1,2
GENETIC,2
ANALGESIC,2
ALLEN,2
S100A10,2
PELVIC,2
OVERLAPPING,2
GENECARDS,2
DISGENET,2
CP,2
TFR1,1
SCHIFF,1
PBM,1
HDM,1
FVC,1
FEV0,1
BCA,1
SIRTINOL,1
IPGTT,1
INTRAPERITONEAL,1
GIR,1
MERTK,1
MER,1
D7,1
D3,1
D1,1
D0,1
TBK1,1
TANK,1
NAP,1
DRIVEN,1
CCR2,1
CCL2,1
ANE,1
PWMT,1
NGN2,1
UNIQUE,1
THAILAND,1
ST53,1
ST22,1
ST115,1
ST101,1
MLST8,1
INSTITUTE,1
IB,1
IA2,1
IA1,1
FACIAL,1
CCS,1
CC5,1
CC3,1
CC2,1
CC1,1
ACNE,1
UACR,1
SPON2,1
SOX2OT,1
SOX2,1
PODOCYTE,1
LNCRNA,1
C1,1
UNILATERAL,1
SCDH,1
DNMT3A,1
CD11B,1
ZEALAND,1
RABBITS,1
MFF,1
DIHYDROETHIDIUM,1
DHE,1
METHAMPHETAMINE,1
METH,1
LACTOBACILLALES,1
FUT2,1
CONCURRENT,1
BACTEROIDALES,1
NTS,1
GVAF,1
CIRCUIT,1
ADRB2,1
MFN1,1
GLUCOSE,1
FIS1,1
CEST,1
CATWALK,1
WUXUE,1
TEAS,1
BEIXIN,1
REMYELINATION,1
POMC,1
OPRK1,1
OPCS,1
OPC,1
MEDIATES,1
LINEAGE,1
KOR,1
ENDORPHIN,1
AUTOIMMUNE,1
RESPONSES,1
PIEZO2,1
MYOCELLULAR,1
EPAC1,1
CROSSTALK,1
TIANMA,1
TAOREN,1
SYNERGISTIC,1
R2,1
HONGHUA,1
HERBAL,1
CHM,1
BANXIA,1
ACIDS,1
PS1DE9,1
PREVENTS,1
PHENOTYPES,1
FUS,1
CD31,1
CBF,1
APPSWE,1
MUSCARINIC,1
IM,1
ILEUS,1
FLUOROCITRATE,1
ENTERIC,1
EGCS,1
AMELIORATES,1
TRN,1
GABAERGIC,1
BLOCKING,1
MARKERS,1
COLONIC,1
THROAT,1
STREPTOCOCCUS,1
ST382,1
ST15,1
ST1274,1
GENOMIC,1
DISTRICT,1
ANTIMICROBIAL,1
TCGA,1
PEIYUAN,1
MFC,1
GUBEN,1
FASTING,1
REGULATES,1
IMPROVE,1
DAMAGE,1
