gene_symbol,official_note,article_count
HDAC2,HDAC2,2
PARKINSONISM,PARKINSONISM,2
H3K27AC,H3K27AC,2
ROSE,ROSE,2
ULCER,ULCER,2
KIM,KIM,2
BC,BC,2
BLADDER,BLADDER,2
HYDROGEL,HYDROGEL,2
L6,L6,2
ULCERATIVE,ULCERATIVE,2
WNT7B,WNT7B,2
OGD,OGD,2
MDD,MDD,2
NPC,NPC,2
MMP13,MMP13,2
PREMATURE,PREMATURE,2
PHYLOGENETIC,PHYLOGENETIC,2
AA,AA,2
TFS,TFS,2
AMELIORATED,AMELIORATED,2
BILATERAL,BILATERAL,2
GB13,GB13,2
TPH1,TPH1,2
WT,WT,2
ANALYSES,ANALYSES,2
JUNE,JUNE,2
RECORDS,RECORDS,2
ECG,ECG,2
FIBROSIS,FIBROSIS,2
MOXA,MOXA,2
SMOKE,SMOKE,2
CAM,CAM,2
CRP,CRP,2
INFARCTION,INFARCTION,2
PROTECTIVE,PROTECTIVE,2
STAT5,STAT5,2
ANALGESIA,ANALGESIA,2
DORSAL,DORSAL,2
GANGLIA,GANGLIA,2
PWTS,PWTS,2
ROOT,ROOT,2
PVS,PVS,2
CPP,CPP,2
NSCLC,NSCLC,2
OBESE,OBESE,2
CORD,CORD,2
TNBS,TNBS,2
JUN,JUN,2
EYE,EYE,2
MCP,MCP,2
TIMP,TIMP,2
SAMP8,SAMP8,2
FERTILIZATION,FERTILIZATION,2
UNDERGOING,UNDERGOING,2
SUITE,SUITE,2
TWELVE,TWELVE,2
ALLERGIC,ALLERGIC,2
LIFE,LIFE,2
CIRCULATING,CIRCULATING,2
PARTICIPANTS,PARTICIPANTS,2
PERICARDIUM,PERICARDIUM,2
ATROPHIC,ATROPHIC,2
BEIJING,BEIJING,2
GASTRITIS,GASTRITIS,2
AIA,AIA,2
BNP,BNP,2
CG,CG,2
DIA,DIA,2
OVA,OVA,2
PE,PE,2
UCG,UCG,2
ANOVA,ANOVA,2
GNRH,GNRH,2
OVARIAN,OVARIAN,2
ULTRA,ULTRA,2
CXCL12,CXCL12,2
ADJACENT,ADJACENT,2
MSALL,MSALL,2
SWATH,SWATH,2
SHENQUE,SHENQUE,2
CR,CR,2
TCA,TCA,2
GRAPHENE,GRAPHENE,2
SAP,SAP,2
ACTH,ACTH,2
CORT,CORT,2
SHENMEN,SHENMEN,2
CHOP,CHOP,2
SCALP,SCALP,2
HDL,HDL,2
ACT,ACT,2
PEF,PEF,2
CONCEPTION,CONCEPTION,2
GAPDH,GAPDH,2
MATERIAL,MATERIAL,2
MEK,MEK,2
MARCH,MARCH,2
HDMS,HDMS,2
NARRATIVE,NARRATIVE,2
LUMBAR,LUMBAR,2
ADDITIONAL,ADDITIONAL,2
EIGHTEEN,EIGHTEEN,2
IPA,IPA,2
CCK,CCK,2
SPT,SPT,2
TRKB,TRKB,2
REGULATE,REGULATE,2
ARE,ARE,2
AG490,AG490,2
DECEMBER,DECEMBER,2
OPA1,OPA1,2
GLYCOLYSIS,GLYCOLYSIS,2
NOTCH,NOTCH,2
ANG,ANG,2
B3,B3,2
IRS1,IRS1,2
BZATP,BZATP,2
P2X7,P2X7,2
INCLUSION,INCLUSION,2
REACTIVE,REACTIVE,2
LEE,LEE,2
HK2,HK2,2
IRS,IRS,2
AMD3100,AMD3100,2
ERK1,ERK1,2
SHANGXING,SHANGXING,2
COL2,COL2,2
LEQUESNE,LEQUESNE,2
TREGS,TREGS,2
ES,ES,2
GASDERMIN,GASDERMIN,2
TIAOSHEN,TIAOSHEN,2
IGF1R,IGF1R,2
LIKE,LIKE,2
NSC,NSC,2
NSCS,NSCS,2
BUN,BUN,2
DKD,DKD,2
SCR,SCR,2
KELCH,KELCH,2
EOSINOPHIL,EOSINOPHIL,2
MLST,MLST,2
CLAUDIN,CLAUDIN,2
EFFECTIVE,EFFECTIVE,2
NALOXONE,NALOXONE,2
MRM,MRM,2
IRF3,IRF3,2
RETROGRADE,RETROGRADE,2
EAE,EAE,2
LEPR,LEPR,2
OIL,OIL,2
VAGUS,VAGUS,2
MOR,MOR,2
MULTIMODAL,MULTIMODAL,2
IBA1,IBA1,2
PWTL,PWTL,2
CLIQUE,CLIQUE,1
CXCL8,CXCL8,1
IFNG,IFNG,1
IL1B,IL1B,1
IL2,IL2,1
IL4,IL4,1
MSK1,MSK1,1
HOXA10,HOXA10,1
ITGB5,ITGB5,1
RIF,RIF,1
COMT,COMT,1
GABRB3,GABRB3,1
IGA,IGA,1
LTBP3,LTBP3,1
PLXNB2,PLXNB2,1
NGF,NGF,1
TRKA,TRKA,1
NPY,NPY,1
PSM,PSM,1
SQSTM1,SQSTM1,1
XIAWAN,XIAWAN,1
LETTER,LETTER,1
SIGNIFICANCE,SIGNIFICANCE,1
CHENG,CHENG,1
HUANG,HUANG,1
JF,JF,1
XC,XC,1
XP,XP,1
ZH,ZH,1
MYCOBACTERIUM,MYCOBACTERIUM,1
PRESENTATION,PRESENTATION,1
SUCCESSFUL,SUCCESSFUL,1
CHOLESTA,CHOLESTA,1
DIGOXIGENIN,DIGOXIGENIN,1
FN14,FN14,1
LICOFELONE,LICOFELONE,1
LYPD3,LYPD3,1
MOD,MOD,1
PRSS22,PRSS22,1
TNFRSF12A,TNFRSF12A,1
TWEAK,TWEAK,1
CASP3,CASP3,1
JOINT,JOINT,1
MAPK1,MAPK1,1
NFKB,NFKB,1
QUERCETIN,QUERCETIN,1
TANG,TANG,1
TONG,TONG,1
ANTERIOR,ANTERIOR,1
CINGULATE,CINGULATE,1
GIVEN,GIVEN,1
IMPACT,IMPACT,1
ACECLUSTER,ACECLUSTER,1
CONSENSUS,CONSENSUS,1
HDAC3,HDAC3,1
