"variable","relative_importance","scaled_importance","percentage","model","Importance"
"OTU1504_s__Prevotella_bryantii",0,0,0,"DRF",0
"OTU2485_s__Clostridium_isatidis",0,0,0,"DRF",0
"OTU2425_s__Eubacterium_hominis",0,0,0,"DRF",0
"OTU2487_s__Clostridium_neonatale",0,0,0,"DRF",0
"OTU2551_s__Pseudobutyrivibrio_xylanivorans",0,0,0,"DRF",0
"OTU2506_s__Pusillibacter_faecalis",0,0,0,"DRF",0
"OTU1457_s__Butyricimonas_faecalis",0,0,0,"DRF",0
"OTU2548_s__Anaerocolumna_sedimenticola",0,0,0,"DRF",0
"OTU179_s__Anaeromyxobacter_paludicola",0,0,0,"DRF",0
"OTU2508_s__Caproicibacterium_amylolyticum",0,0,0,"DRF",0
"OTU121_s__Leptolyngbya_sp._7M",0,0,0,"DRF",0
"OTU2334_s__Acidaminococcus_fermentans",0,0,0,"DRF",0
"OTU2272_s__Granulicatella_adiacens",0,0,0,"DRF",0
"OTU2510_s__Caproicibacterium_sp._BJN0003",0,0,0,"DRF",0
"OTU1605_s__Slackia_heliotrinireducens",0,0,0,"DRF",0
"OTU2433_s__Peptostreptococcus_sp._CBA3647",0,0,0,"DRF",0
"OTU999_s__Acinetobacter_haemolyticus",0,0,0,"DRF",0
"OTU2444_s__Paraclostridium_bifermentans",0,0,0,"DRF",0
"OTU2502_s__Ruminiclostridium_herbifermentans",0,0,0,"DRF",0
"OTU2552_s__Enterocloster_clostridioformis",0,0,0,"DRF",0
"OTU1499_s__Prevotella_fusca",0,0,0,"DRF",0
"OTU2558_s__Lachnoclostridium_phytofermentans",0,0,0,"DRF",0
"OTU94_s__Fusobacterium_nucleatum",0,0,0,"DRF",0
"OTU1604_s__Xiamenia_xianingshaonis",0,0,0,"DRF",0
"OTU116_s__Limnospira_indica",0,0,0,"DRF",0
"OTU2309_s__Streptococcus_parauberis",0,0,0,"DRF",0
"OTU2590_s__Blautia_producta",0,0,0,"DRF",0
"OTU1951_s__Tannockella_kyphosi",0,0,0,"DRF",0
"OTU93_s__Fusobacterium_ulcerans",0,0,0,"DRF",0
"OTU2569_s__Butyrivibrio_hungatei",0,0,0,"DRF",0
"OTU2436_s__Romboutsia_ilealis",0,0,0,"DRF",0
"OTU2319_s__Streptococcus_dysgalactiae",0,0,0,"DRF",0
"OTU960_s__Vibrio_cholerae",0,0,0,"DRF",0
"OTU1514_s__Bacteroides_heparinolyticus",0,0,0,"DRF",0
"OTU1465_s__Alistipes_dispar",0,0,0,"DRF",0
"OTU2553_s__Enterocloster_bolteae",0,0,0,"DRF",0
"OTU167_s__Pyramidobacter_piscolens",0,0,0,"DRF",0
"OTU1505_s__Prevotella_sp._E15-22",0,0,0,"DRF",0
"OTU2199_s__Lactiplantibacillus_plantarum",0,0,0,"DRF",0
"OTU2315_s__Streptococcus_mutans",0,0,0,"DRF",0
"OTU2493_s__Clostridium_sp._BJN0001",0,0,0,"DRF",0
"OTU2545_s__Anaeropeptidivorans_aminofermentans",0,0,0,"DRF",0
"OTU84_s__Cetobacterium_somerae",0,0,0,"DRF",0
"OTU2445_s__Geosporobacter_ferrireducens",0,0,0,"DRF",0
"OTU2450_s__Serpentinicella_alkaliphila",0,0,0,"DRF",0
"OTU2492_s__Clostridium_sp._SY8519",0,0,0,"DRF",0
"OTU1291_s__Enterobacter_cloacae_complex_sp.",0,0,0,"DRF",0
"OTU1623_s__Olsenella_uli",0,0,0,"DRF",0
"OTU1721_s__Rhodococcus_erythropolis",0,0,0,"DRF",0
"OTU2542_s__Wansuia_hejianensis",0,0,0,"DRF",0
"OTU2538_s__Faecalibacterium_sp._I3-3-33",0,0,0,"DRF",0
"OTU1100_s__Pseudomonas_aeruginosa",0,0,0,"DRF",0
"OTU1297_s__Escherichia_albertii",0,0,0,"DRF",0
"OTU1876_s__Schaalia_odontolytica",0,0,0,"DRF",0
"OTU2386_s__Heliorestis_convoluta",0,0,0,"DRF",0
"OTU2393_s__Desulfotomaculum_nigrificans",0,0,0,"DRF",0
"OTU2504_s__Ethanoligenens_harbinense",0,0,0,"DRF",0
"OTU65_s__Candidatus_Koribacter_versatilis",0,0,0,"DRF",0
"OTU168_s__Cloacibacillus_porcorum",0,0,0,"DRF",0
"OTU631_s__Sphaerotilus_sulfidivorans",0,0,0,"DRF",0
"OTU1503_s__Prevotella_melaninogenica",0,0,0,"DRF",0
"OTU2339_s__Megasphaera_hexanoica",0,0,0,"DRF",0
"OTU2539_s__Faecalibacterium_sp._I4-1-79",0,0,0,"DRF",0
"OTU2316_s__Streptococcus_chenjunshii",0,0,0,"DRF",0
"OTU2573_s__Lacrimispora_xylanolytica",0,0,0,"DRF",0
"OTU58_s__Paludibaculum_fermentans",0,0,0,"DRF",0
"OTU1609_s__Gordonibacter_pamelaeae",0,0,0,"DRF",0
"OTU2477_s__Clostridium_kluyveri",0,0,0,"DRF",0
"OTU2568_s__Butyrivibrio_fibrisolvens",0,0,0,"DRF",0
"OTU284_s__Oleidesulfovibrio_alaskensis",0,0,0,"DRF",0
"OTU2412_s__Christensenella_sp._Marseille-P3954",0,0,0,"DRF",0
"OTU1494_s__Prevotella_denticola",0,0,0,"DRF",0
"OTU1844_s__Rothia_mucilaginosa",0,0,0,"DRF",0
"OTU1943_s__Thomasclavelia_spiroformis",0,0,0,"DRF",0
"OTU2314_s__Streptococcus_ferus",0,0,0,"DRF",0
"OTU2429_s__Peptacetobacter_hiranonis",0,0,0,"DRF",0
"OTU2526_s__Ruminococcus_albus",0,0,0,"DRF",0
"OTU1228_s__Shigella_flexneri",0,0,0,"DRF",0
"OTU2101_s__Lysinibacillus_timonensis",0,0,0,"DRF",0
"OTU2304_s__Streptococcus_salivarius",0,0,0,"DRF",0
"OTU2478_s__Clostridium_butyricum",0,0,0,"DRF",0
"OTU1521_s__Bacteroides_faecium",0,0,0,"DRF",0
"OTU2232_s__Lactobacillus_helveticus",0,0,0,"DRF",0
"OTU2512_s__Acetivibrio_clariflavus",0,0,0,"DRF",0
"OTU2674_s__Gemella_sanguinis",0,0,0,"DRF",0
"OTU2130_s__Bacillus_anthracis",0,0,0,"DRF",0
"OTU32_s__Dissulfurispira_thermophila",0,0,0,"DRF",0
"OTU1102_s__Pseudomonas_sp._BSw22131",0,0,0,"DRF",0
"OTU1619_s__Atopobium_sp._oral_taxon_416",0,0,0,"DRF",0
"OTU2230_s__Lactobacillus_johnsonii",0,0,0,"DRF",0
"OTU2317_s__Streptococcus_respiraculi",0,0,0,"DRF",0
"OTU2537_s__Faecalibacterium_sp._I4-3-84",0,0,0,"DRF",0
"OTU1493_s__Prevotella_multiformis",0,0,0,"DRF",0
"OTU2311_s__Streptococcus_iniae",0,0,0,"DRF",0
"OTU2480_s__Clostridium_cellulovorans",0,0,0,"DRF",0
"OTU2514_s__Acetivibrio_thermocellus",0,0,0,"DRF",0
"OTU2536_s__Faecalibacterium_sp._HTF-F",0,0,0,"DRF",0
"OTU1163_s__Yersinia_pestis",0,0,0,"DRF",0
"OTU1569_s__Mesomycoplasma_conjunctivae",0,0,0,"DRF",0
"OTU2422_s__Alkalibacter_rhizosphaerae",0,0,0,"DRF",0
"OTU1253_s__Klebsiella_aerogenes",0,0,0,"DRF",0
"OTU1454_s__Coprobacter_secundus",0,0,0,"DRF",0
"OTU91_s__Fusobacterium_necrophorum",0,0,0,"DRF",0
"OTU169_s__Aminomonas_paucivorans",0,0,0,"DRF",0
"OTU703_s__Oxalobacter_formigenes",0,0,0,"DRF",0
"OTU1920_s__Bifidobacterium_animalis",0,0,0,"DRF",0
"OTU2479_s__Clostridium_manihotivorum",0,0,0,"DRF",0
